Email, LastName, FirstName, Country, PhoneNum, Password, 
agoodluck@tin.it, Goodluck, Atalanta, Algeria, 867-1949, <"{gtz@E+FJ5@X, 
agothliff@optusnet.com.au, Gothliff, Aloysius, Greece, 867-5570, h33=CjXUGA55<, 
agregorin@arcor.de, Gregorin, Aloysia, Fiji, 209-6487, fI&;GyC/|)w[, 
agueny@live.nl, Gueny, Aloise, Norway, 398-6732, .!V&:F"jS:D[G(, 
aharesnape@yahoo.com.mx, Haresnape, Arnuad, Mali, 997-1681, t@K&IJ:5l{1El[, 
ahorbath@neuf.fr, Horbath, Ann-marie, Ethiopia, 925-3976, IUZxlc, 
ahought@web.de, Hought, Ansel, Japan, 908-4701, -iQL%lFh=W@8ij, 
ajamieson@bigpond.net.au, Jamieson, Alissa, Costa Rica, 997-5413, sa6@|Sf}%l, 
ajamieson@yahoo.com.au, Jamieson, Addy, Lebanon, 444-1636, _Z$v6<?>41, 
ajanacek@voila.fr, Janacek, Alexi, Central African Republic, 925-5951, I^L\}4G, 
ajosuweit@bluewin.ch, Josuweit, Alva, Turkey, 398-3883, QWNEHB2va8HF1y%, 
akaindl@sympatico.ca, Kaindl, Andrey, Russia, 429-6764, "]S)by)]R'J3leB$, 
akamienski@rediffmail.com, Kamienski, Antoine, Mauritania, 429-6685, {F&eFU-KIDMwx, 
akamienski@yahoo.co.id, Kamienski, Alexa, Libya, 209-7877, TJ0&z4cP(/:CAhq, 
akeford@bol.com.br, Keford, Avivah, Eritrea, 209-9808, 1n?9;zGs+lPPN, 
akernley@voila.fr, Kernley, Antoine, Spain, 908-9378, vc?5"FV2c, 
akirtley@yahoo.fr, Kirtley, Alexa, Croatia, 867-5491, rRW]^vO8, 
akobel@windstream.net, Kobel, Andriette, Cuba, 270-1678, s<mvMN$d, 
alabitt@planet.nl, Labitt, Albertina, Antigua and Barbuda, 444-4993, )2ncgz$-KY=)@~Q, 
aladlow@web.de, Ladlow, Anitra, South Korea, 270-8924, e^zgHQc2^04, 
alammin@tiscali.co.uk, Lammin, Afton, Ghana, 209-4091, Q[m$eqnV:KEtR0sD, 
alammin@yahoo.com.sg, Lammin, Alva, Malta, 925-2027, o!`sW84o=9YU7R7, 
alangsdon@rocketmail.com, Langsdon, Ainsley, Saudi Arabia, 444-7662, -yj+>1`CKC+, 
aleftly@rocketmail.com, Leftly, Annabel, Guinea, 219-8224, E/^;#*0, 
amallinar@yahoo.com.ar, Mallinar, Amy, Tuvalu, 997-8578, }8:e<R/qC1IkvGW, 
amayers@gmx.net, Mayers, Ancell, Vietnam, 398-2942, 9TWc-Rg!93, 
amayers@planet.nl, Mayers, Aloysius, Maldives, 925-4370, scn5}q, 
amcgaughay@rediffmail.com, McGaughay, Austen, Guinea-Bissau, 270-9419, su@xAK892'2?B!, 
amcgrotty@zonnet.nl, McGrotty, Ad, Liberia, 908-5740, -sbVN;oa^+CA_;o~, 
amcilvenna@uol.com.br, McIlvenna, Aubert, Benin, 908-4965, r@+op}("vm1CPq&q, 
amckeefry@t-online.de, McKeefry, Aloise, Austria, 209-6305, %|J.%PGBQ, 
amidlane@tin.it, Midlane, Auberon, Ukraine, 219-3301, T)~}i+E]es), 
amordy@ig.com.br, Mordy, Alejandra, Armenia, 444-3761, -NzDr;KCWk, 
anaptin@hotmail.fr, Naptin, Annmarie, Czechia (Czech Republic), 444-1337, O(?(!'6/)CoPs, 
anaulls@yahoo.com.br, Naulls, Artur, Croatia, 219-2791, '"+"Ep;"Bk^hED{/, 
anormavell@terra.com.br, Normavell, Aurel, Germany, 429-5152, 8~eg{QqN%qSu1E, 
anyssen@orange.fr, Nyssen, Alejandra, Zimbabwe, 270-7548, hH$>T_Sm., 
aparsley@live.nl, Parsley, Ann-marie, Burundi, 219-6529, oSN$04]IO&$";v, 
areasun@ymail.com, Reasun, Alva, Saudi Arabia, 270-6495, r|{R-aQ&zY, 
asackler@rediffmail.com, Sackler, Alric, Slovakia, 444-2049, *3E86EM08$, 
aschaffel@gmail.com, Schaffel, Anne, Kiribati, 209-2582, 5$*?k53;, 
aschneider@gmx.de, Schneider, Aloysia, Moldova, 908-5858, qF:5|jFW#8!, 
asebastian@juno.com, Sebastian, Ansel, Czechia (Czech Republic), 908-9461, |3XBpq, 
ashout@yahoo.com.au, Shout, Allistir, Albania, 925-5037, Nm"9rSAlq, 
asiemandl@hotmail.it, Siemandl, Avivah, Saint Lucia, 398-9627, R;7a0uG-\!;&, 
asinnott@t-online.de, Sinnott, Alan, Armenia, 997-9030, I#>)0|ke|>x, 
asmickle@hotmail.it, Smickle, Ansel, Côte d'Ivoire, 219-7002, h!8xWnL^1VW8, 
asokill@cox.net, Sokill, Arte, India, 925-1647, 9|4(]){v=, 
aspeenden@optusnet.com.au, Speenden, Alverta, Saint Vincent and the Grenadines, 270-1374, TQ*Js?!bp, 
asuggate@facebook.com, Suggate, Alexi, Guinea-Bissau, 270-6041, OL:YX&vX`k;/*IM, 
asummerill@rediffmail.com, Summerill, Adrea, Morocco, 429-5384, NLYve7RO*FnC@w:, 
asyncke@gmx.de, Syncke, Ancell, North Macedonia, 398-1177, V-`.H?VuyFE, 
atschersich@live.com.au, Tschersich, Andros, Bulgaria, 270-8731, ;R8JH_p&y, 
avernau@home.nl, Vernau, Amby, Rwanda, 429-4897, z[F|L$UEM^^, 
avirgo@tiscali.co.uk, Virgo, Ada, Djibouti, 997-5500, W/T|"Uqw.2)zY, 
awakeling@shaw.ca, Wakeling, Ann-marie, Mali, 908-3583, ]9`O2|Yg, 
awheowall@ymail.com, Wheowall, Arte, Central African Republic, 997-6140, Maa:Qb{=#, 
bainger@gmail.com, Ainger, Barde, Egypt, 444-9411, xhRKJ.]@1XD[HOO, 
bbalcon@rediffmail.com, Balcon, Bel, Indonesia, 908-8337, KZ_~G#?$<i, 
bbaldin@googlemail.com, Baldin, Boycey, Kazakhstan, 219-8238, c#hnp&1>w, 
bberard@qq.com, Berard, Butch, Zimbabwe, 925-1445, eZ/hJATA.}, 
bbest@web.de, Best, Brady, Afghanistan, 270-4050, lLkH^Tm, 
bbestwick@gmx.de, Bestwick, Boigie, Bosnia and Herzegovina, 429-8485, XC$:E1WK`}oe, 
bbirkenhead@outlook.com, Birkenhead, Bennett, United Arab Emirates, 444-2438, O3&8jx_{zVh6d, 
bbotger@yahoo.in, Botger, Brady, Micronesia, 219-6944, 3o=4=/3?)OkqWJ, 
bbourgeois@bol.com.br, Bourgeois, Bernette, Paraguay, 398-3878, yKi7't3iuc, 
bbulfoot@libero.it, Bulfoot, Brady, Malawi, 925-6915, ~K0'j@, 
bbumby@yahoo.ca, Bumby, Breanne, Vietnam, 209-8543, }W)fjp, 
bconford@free.fr, Conford, Bellina, Dominica, 270-9179, <\d^/t2I, 
bcrisell@msn.com, Crisell, Batholomew, South Korea, 398-2083, spYRO?, 
bcrisell@yahoo.de, Crisell, Becky, Bangladesh, 925-6337, N<vs'u;, 
bcronkshaw@facebook.com, Cronkshaw, Brittaney, Luxembourg, 444-8709, 4lCGtz-g1#, 
bd'almeida@aliceadsl.fr, D'Almeida, Bennett, France, 219-9585, QYJD80, 
bd'almeida@ymail.com, D'Almeida, Barnard, Slovakia, 398-5888, LVS]Nu7J, 
bdeveraux@mail.com, Deveraux, Brandise, Canada, 444-7236, BtOn9c.K$, 
bdewi@rediffmail.com, Dewi, Bax, Montenegro, 398-8602, YN?x1'FI9;`Th, 
beastlake@sfr.fr, Eastlake, Bel, Monaco, 270-8710, "_*loQ0~, 
bfeldman@laposte.net, Feldman, Bastien, Ukraine, 908-9144, Tzl];0ih, 
bfilmer@virgilio.it, Filmer, Bendix, Bangladesh, 925-1988, )%9'PM@|+R:`g:3&, 
bfrisdick@terra.com.br, Frisdick, Bonnibelle, Brunei, 398-6591, UhO|3t5o0S\8, 
bgerriet@facebook.com, Gerriet, Britney, Madagascar, 925-7205, pC8uS;j, 
bgerriet@live.ca, Gerriet, Belinda, Suriname, 219-9469, WxHmhIyl0%5, 
bgibling@yahoo.co.in, Gibling, Barron, Egypt, 270-3560, @M|4'>MO/N/T, 
bgilburt@aim.com, Gilburt, Bernhard, Côte d'Ivoire, 444-6602, ZtPz2(#<Ob$p, 
bgrahlmans@zonnet.nl, Grahlmans, Barb, Algeria, 209-3660, I<T]OT28, 
bgraveson@yahoo.es, Graveson, Braden, Oman, 925-2873, kQ>"X$Vzk0MQJ~, 
bgreenhowe@yahoo.com.br, Greenhowe, Buddy, Honduras, 925-1076, U&RfB&\Qs+R, 
bgregory@gmx.de, Gregory, Brady, Switzerland, 925-1060, e6/%gczHCm)>**C, 
bguitonneau@yahoo.com.ar, Guitonneau, Bonnibelle, Congo (Congo-Brazzaville), 444-7315, D&Kw!NXO=, 
bhemms@home.nl, Hemms, Burton, Luxembourg, 867-8622, Y4UDV04-|!r%Y3}, 
bhemms@hotmail.it, Hemms, Bentlee, Algeria, 398-3690, b-{F7B}>9GBPDrr, 
bjina@live.it, Jina, Breanne, Madagascar, 867-8074, [9/Q~i51v, 
bkelly@live.it, Kelly, Breanne, Brazil, 429-8475, y8z=ua}Jx*dfz, 
bkemble@hotmail.com, Kemble, Burtie, Germany, 925-6987, K@yI{:!/EgFU83I, 
bkernley@live.com, Kernley, Bennett, Iraq, 925-6256, i]d@s7n.hkoQ`VAP, 
bkhomishin@blueyonder.co.uk, Khomishin, Benoit, Iraq, 997-3847, bEozQN#{D-, 
bknowlden@wanadoo.fr, Knowlden, Bevvy, Albania, 219-9612, KeNTiK, 
bkuhnt@arcor.de, Kuhnt, Brooks, Central African Republic, 925-9173, ";zJct$AHNGC, 
bleidecker@sympatico.ca, Leidecker, Benedict, Bosnia and Herzegovina, 444-2712, ]tsCIYc;?ggMdB, 
blinne@verizon.net, Linne, Barnard, Laos, 444-5611, 2pB}K9N*c+2ZpNG0, 
blowe@hetnet.nl, Lowe, Barde, United States of America, 219-9816, LiMH{rawh, 
bluigi@yahoo.com.sg, Luigi, Beulah, Cuba, 444-8948, 0uOdAS`>Y, 
bm'quharge@libero.it, M'Quharge, Barde, Cambodia, 997-3712, +i'DrlX<YkLQ/T.W, 
bmaccallister@mail.ru, MacCallister, Benyamin, Bhutan, 270-2580, %v>]NWIh, 
bmartugin@sbcglobal.net, Martugin, Buddy, Kenya, 908-8986, axpEY(o3O, 
bmctague@live.com.au, McTague, Becky, Denmark, 209-1977, msT=X1-8bQnWI, 
bmordy@juno.com, Mordy, Bernette, Latvia, 925-2810, fcQb0gFxV6;X, 
bmurton@hotmail.fr, Murton, Billy, Cyprus, 925-7389, Jm;5?XG8q\u, 
bnardoni@laposte.net, Nardoni, Benyamin, Palestine State, 908-3495, A;bs:N-d, 
bnaulls@bigpond.com, Naulls, Belvia, Saint Vincent and the Grenadines, 925-7472, U`/u&Lo:M=u:MJ^Y, 
bpetruska@mail.com, Petruska, Benoit, Panama, 429-7444, $Q>1~mvL:dK=, 
bpett@orange.fr, Pett, Byrom, Croatia, 925-4762, uLR4J/1w95U?, 
brandlesome@mac.com, Randlesome, Buddy, Nicaragua, 270-1492, '=&~'A^XeIfP*EFj, 
brosenzwig@hotmail.it, Rosenzwig, Bernette, Saint Lucia, 270-5292, n>*s`8*X_B<E&c3_, 
brustidge@yahoo.co.uk, Rustidge, Brooks, Oman, 925-5409, OQ4^$R_T!9?}QX, 
bscarf@charter.net, Scarf, Batholomew, Estonia, 429-6232, %em3X{##3, 
bschneider@sky.com, Schneider, Barnard, Bosnia and Herzegovina, 219-6321, 470mGgL, 
bshout@sfr.fr, Shout, Brittaney, Seychelles, 398-2687, fh:'7FWesv, 
bsuett@hotmail.es, Suett, Breanne, Bahrain, 908-5157, <{ME{0[2>|3, 
bswainston@yahoo.co.jp, Swainston, Bertina, Maldives, 908-8066, uU(y06@4, 
btrice@sky.com, Trice, Byrom, Maldives, 867-2347, 8^WrN#qN, 
bvan oord@live.fr, Van Oord, Brook, Albania, 444-4792, m]JTysi, 
bvandenhoff@gmx.net, Vandenhoff, Barret, Switzerland, 997-9970, {?;3=IUO, 
bwakeford@mac.com, Wakeford, Benyamin, Uruguay, 867-8988, C'87c\\+@3g/, 
bwalesby@club-internet.fr, Walesby, Buddy, Namibia, 270-9938, 9l6Bs~{>2lA5|>, 
bwhillock@planet.nl, Whillock, Basia, Senegal, 997-1920, ~7{^+TR6r=0(v, 
bwyrill@aim.com, Wyrill, Britney, Japan, 209-2560, 1A"S-mD1('}, 
byacob@bigpond.net.au, Yacob, Bernie, Bahrain, 867-4164, qNn_x$k`]=:lq, 
cager@ig.com.br, Ager, Cobbie, Czechia (Czech Republic), 270-5538, zw?s!SD, 
cager@live.com, Ager, Curt, Cuba, 925-7327, &or"!*vuZUyNfC4K, 
cainger@laposte.net, Ainger, Curt, Kiribati, 925-7351, +lWo(Ud!~D.k5cY;, 
cbarnett@googlemail.com, Barnett, Christopher, Micronesia, 398-4529, ~'5`GNHVMo$a`x, 
cbaudouin@sympatico.ca, Baudouin, Casper, Liechtenstein, 429-4530, ?~ULm|CF5:=)"m1, 
cbeddoe@freenet.de, Beddoe, Chevalier, Burundi, 908-1860, FL;Xnod., 
cberard@hotmail.com, Berard, Claudia, Venezuela, 219-2221, |ZeIBh]ft!av&:MB, 
cbirdall@aim.com, Birdall, Cyndia, Bhutan, 997-9993, (="DIN@, 
cblankett@alice.it, Blankett, Claudia, Australia, 209-7140, #aWI3pHS5`E0<9E, 
cbroe@live.com, Broe, Clywd, Brazil, 429-3496, @%yNqM?"bz2/p{, 
cbrunker@hotmail.es, Brunker, Candida, Gabon, 398-6531, \0MbOt%<GW>_[m, 
ccahey@bigpond.com, Cahey, Claudius, Latvia, 444-7734, @YcV${1\+d0}J*, 
cchatwood@sbcglobal.net, Chatwood, Cordy, Poland, 867-1506, %dfm8*4j, 
cconahy@yahoo.co.in, Conahy, Casper, Honduras, 997-8567, ;c^tTHL+, 
ccourtliff@msn.com, Courtliff, Cirstoforo, Ghana, 925-1400, _90LO*yQFR, 
ccreer@earthlink.net, Creer, Correy, Syria, 270-3088, x|a<Tgm8=wCkd0, 
cdalliwater@bol.com.br, Dalliwater, Cobbie, North Korea, 219-4802, xqv"JRc, 
cdelong@hotmail.es, Delong, Caren, Comoros, 209-4797, D8fUP`*ncrI'm4S, 
cdenecamp@zonnet.nl, Denecamp, Conrado, Tanzania, 444-1719, x3!/[)lLr`sMN<R{, 
cdrummond@tiscali.co.uk, Drummond, Cosmo, Estonia, 997-2673, Zd}NF:, 
cdudney@yahoo.ca, Dudney, Cathleen, Mali, 444-9177, Lc{};`vj4Cur, 
cespine@ntlworld.com, Espine, Cordy, Afghanistan, 925-6955, =8\@SFg^\hQ, 
cfasham@tin.it, Fasham, Clerkclaude, United Arab Emirates, 429-4185, TQW8LrXS?kN1RK, 
cflaxman@hotmail.de, Flaxman, Cobby, Nepal, 219-8434, O]2iDlhue:(LJ, 
cfleury@aim.com, Fleury, Chandra, Eritrea, 867-7530, ]cA]R=?A;, 
cgallymore@yahoo.co.id, Gallymore, Chelsey, Nauru, 209-8300, D>sO42$y]A<-, 
cgillbe@chello.nl, Gillbe, Clement, Guinea, 429-8904, C/z!m#qFq5;c}E, 
cguilleton@mail.com, Guilleton, Cirstoforo, Somalia, 444-9926, /)1+55w', 
chorbath@voila.fr, Horbath, Cassey, Mexico, 925-7713, ~U7yWn.e, 
chulkes@yahoo.ca, Hulkes, Curt, Suriname, 997-1264, U}@HnEQ1B&Af, 
chundal@rocketmail.com, Hundal, Cirstoforo, Chile, 209-9096, 0_`x}V(!0, 
chuonic@zonnet.nl, Huonic, Christina, Laos, 444-4994, l&LwF>*@Q<@zwHgD, 
ciacovides@terra.com.br, Iacovides, Cammie, Switzerland, 997-7160, t{SVPQn, 
civanenko@aliceadsl.fr, Ivanenko, Cindelyn, Nepal, 867-1074, ks}pVGgR(3N, 
cjedryka@hotmail.it, Jedryka, Cece, Yemen, 398-7428, aXyZLH, 
ckays@msn.com, Kays, Candida, Namibia, 209-7645, E&Yt;w~?5sGf\, 
ckehri@terra.com.br, Kehri, Cleon, Saint Vincent and the Grenadines, 219-1559, >4^'gCLa1&Q[, 
ckerss@chello.nl, Kerss, Cherianne, Kazakhstan, 429-4423, zB8\nMl`}9;, 
cklas@freenet.de, Klas, Cosette, Moldova, 925-3871, pD4V`_/LB_E?Az, 
cklosges@skynet.be, Klosges, Clement, North Korea, 908-3903, 4A&NbkE=#nG], 
cleckenby@yahoo.com.br, Leckenby, Clo, Fiji, 270-4837, fr@pc>/vy"FO., 
cledstone@yahoo.com.br, Ledstone, Conrado, Sweden, 429-5687, '^<#Jha, 
clukesch@windstream.net, Lukesch, Cari, France, 398-6947, u6IfVL, 
cmacdiarmond@yahoo.co.jp, MacDiarmond, Cornelle, Tunisia, 209-5451, HnGR81#};f|Z)9yv, 
cmacskeaghan@comcast.net, MacSkeaghan, Cassandre, Nicaragua, 925-1927, Q%CJ^q?, 
cmitie@club-internet.fr, Mitie, Candida, Thailand, 429-5582, yA4GQ'Blh9<y>G]a, 
cmordy@live.nl, Mordy, Cammy, Ecuador, 270-8195, kk_Qqb@\Dp[$:fL>, 
co'meara@frontiernet.net, O'Meara, Cirstoforo, Turkmenistan, 444-6557, eIJUYLa_E+aiSq5, 
cocklin@skynet.be, Ocklin, Cirstoforo, Ireland, 925-9449, dR2Y}{(Q<|, 
cphelps@freenet.de, Phelps, Colline, North Macedonia, 444-8491, Cm(8.(v]|_-, 
cpresnall@live.com.au, Presnall, Cristobal, Australia, 398-9016, nG(]fL#4>}i(b, 
creinert@yahoo.com.sg, Reinert, Codi, Morocco, 209-5843, Fqr%KueJU&l}, 
criba@hotmail.it, Riba, Cirstoforo, Equatorial Guinea, 209-5805, jO}u0Bu++", 
cridge@ntlworld.com, Ridge, Clywd, Uruguay, 908-6734, F\A-hSG7uTlYnw, 
cridgwell@me.com, Ridgwell, Claudius, Malta, 908-8369, >&Z}TqCZCu, 
crosenzwig@yahoo.de, Rosenzwig, Clo, Chad, 209-9484, K`RtC-Rb=x_`ka, 
cseer@earthlink.net, Seer, Caddric, Lithuania, 270-5842, ~?dQ'(=BJ\')7e, 
csinnott@hotmail.co.uk, Sinnott, Chevalier, South Sudan, 270-2238, &wvkb?sLVs, 
cslogrove@msn.com, Slogrove, Chelsey, Iran, 867-6672, v?8cVWyK|/, 
csnarr@live.it, Snarr, Carolyne, Morocco, 867-6801, [%RBvR=-, 
cspiaggia@libero.it, Spiaggia, Conrado, Egypt, 270-5021, O76P+\HCS=lbi, 
cstagge@optonline.net, Stagge, Celestyna, Cameroon, 908-8669, {?0}`N}, 
cstollard@sbcglobal.net, Stollard, Cordy, El Salvador, 398-5957, *v_>Ez(.w, 
cstuck@hetnet.nl, Stuck, Cary, Paraguay, 997-9879, k.6Y|f_I, 
csuggate@centurytel.net, Suggate, Cletus, Grenada, 444-2776, FyY'&HBk7, 
csweeney@blueyonder.co.uk, Sweeney, Christopher, Tuvalu, 398-3249, /QQygng7f, 
cthurlbourne@bigpond.com, Thurlbourne, Cobbie, Dominica, 997-8812, ^zV!MU`U!("[[>{9, 
ctrelevan@qq.com, Trelevan, Cornelle, Lebanon, 444-7517, @)ziL-oVgpZuo@, 
ctripean@mail.ru, Tripean, Claudia, Slovakia, 444-3618, 8k/{Tsr, 
cturle@live.fr, Turle, Chuck, Haiti, 925-6096, %<*!GH1_, 
cvarndell@live.it, Varndell, Claudia, Qatar, 209-6486, &"W[f#, 
cvauls@optonline.net, Vauls, Carlin, Czechia (Czech Republic), 925-2942, BeU6xW+mCZ#dvyE, 
cwalesby@hotmail.co.uk, Walesby, Chandra, Kuwait, 867-7954, cyw'a*1I7[mBmS, 
cwalstow@yahoo.in, Walstow, Cherianne, Colombia, 219-6754, ~T<nlKl}s}PW, 
cwoodland@hotmail.com, Woodland, Cortney, Pakistan, 908-1391, .A>"SZHGv., 
cwoodland@live.com, Woodland, Cece, Ukraine, 209-4139, jPE%^;qPI^RfkY^m, 
cwoollin@optusnet.com.au, Woollin, Cortney, Burkina Faso, 429-3700, VOWU#h, 
dbarnett@ntlworld.com, Barnett, Debera, Guyana, 908-8652, 9Pv9vdb=, 
dbaudinelli@telenet.be, Baudinelli, Daren, Morocco, 270-2280, f0LaFa(LZlb$d", 
dbennis@web.de, Bennis, Debora, Poland, 997-1070, =d:@9DB43V]Mfsv, 
dblasing@optonline.net, Blasing, Deonne, Bhutan, 270-9768, nu{MQ3-ITNIBz-~), 
dborkett@hotmail.es, Borkett, Doti, Andorra, 429-6455, 9MH(GN(fZ', 
dborthram@freenet.de, Borthram, Daniella, Ireland, 219-6937, p.*$y@z@}}eq(, 
dbrecon@hotmail.com, Brecon, Dietrich, Austria, 209-5998, vanJVV(tnI[FP}5E, 
dbygrove@aliceadsl.fr, Bygrove, Dalenna, Iraq, 429-8710, eXFLaw6_y, 
dcapstaff@googlemail.com, Capstaff, Demott, Maldives, 398-4036, 8f)G8HN0W, 
dcharles@yahoo.com.mx, Charles, Demetra, Tonga, 429-3336, xi_ckHj<, 
dchatters@sympatico.ca, Chatters, Dian, Romania, 398-3161, Rmglm)F_U6]~_M, 
dclacey@tiscali.co.uk, Clacey, Doretta, Moldova, 444-8485, 4c[u%jLP/7, 
dcreser@live.ca, Creser, Drona, Ukraine, 429-5010, ^/ge6yq</, 
ddanell@yandex.ru, Danell, Dyan, Sierra Leone, 867-4959, D|qy[Yzt)SFNR*j3, 
dde ruggero@msn.com, De Ruggero, Dorree, Morocco, 925-6982, ddGCH0A\z", 
ddel monte@yahoo.com.sg, Del Monte, Derward, Dominica, 219-2230, %suF*=_2, 
ddumphries@live.ca, Dumphries, Devin, Palau, 429-3371, faBfMYXfY:]yF`, 
dfidal@hotmail.it, Fidal, Debera, Guatemala, 908-1675, g&jgFOe<7sawt, 
dfountaine@home.nl, Fountaine, Daren, Colombia, 209-3794, 8U}KDI3_, 
dgildea@yahoo.com.sg, Gildea, Daryl, Guinea-Bissau, 209-1178, HD2`o90}v/, 
dgraveson@free.fr, Graveson, Demetra, Iran, 270-6017, <>Rh(`"v5&Xdc2, 
dhallum@cox.net, Hallum, Dulcine, Kyrgyzstan, 908-4646, %3s-u4UPPMhhvJ], 
dheball@bol.com.br, Heball, Denver, Ecuador, 209-3683, l|*uj_d[nF@j, 
dhelsby@blueyonder.co.uk, Helsby, Dee dee, Vanuatu, 270-3389, &epWxxH, 
dhought@facebook.com, Hought, Don, North Korea, 219-3027, K<>-e7, 
dhowsley@me.com, Howsley, Dede, Maldives, 209-9165, 9bRG[wthz%, 
djerred@optusnet.com.au, Jerred, Darb, Tonga, 398-7772, &CH5:w, 
dkennady@sfr.fr, Kennady, Danella, Czechia (Czech Republic), 925-6820, +qz5V)HTi^~]M)<, 
dkiledal@sympatico.ca, Kiledal, Dalli, Eritrea, 270-3200, (b<{r5f;F4_[, 
dkulas@yahoo.es, Kulas, Doralin, Gabon, 925-6411, <}')wmvy?, 
dlocard@hotmail.es, Locard, Dniren, Gabon, 867-6264, U*PbXe, 
dloody@yahoo.com.mx, Loody, Devin, Saint Vincent and the Grenadines, 398-9347, )k"R}mSZ5, 
dmale@zonnet.nl, Male, Debera, Hungary, 398-8325, *Ami"jm)LC~, 
dmcausland@facebook.com, McAusland, Debera, Malta, 997-3227, +dT%sCL@ML+=Zy2, 
dmcausland@juno.com, McAusland, Dyan, Lithuania, 925-4169, c0\D7Xj).zw, 
dmeriguet@yahoo.com.sg, Meriguet, Darn, Canada, 925-6913, aaj:QBO.[WvB7, 
dmundwell@live.co.uk, Mundwell, Dniren, Kuwait, 444-7393, _nag_Lx`0jF, 
dmussared@msn.com, Mussared, Darb, Ecuador, 429-5065, so#{p(l)\BLS, 
dmusslewhite@aliceadsl.fr, Musslewhite, Doro, Saint Vincent and the Grenadines, 209-1897, IN\7A&&6, 
dnetting@mail.com, Netting, Dee dee, Senegal, 270-6726, _@@}gq, 
dpeyes@hetnet.nl, Peyes, Didi, Kyrgyzstan, 997-2829, qUDIJ&"v#GR)@, 
drichardson@charter.net, Richardson, Didi, Rwanda, 444-8241, V@EI-#UFrI, 
dscurlock@bluewin.ch, Scurlock, Danny, Iran, 429-8342, FQLIHh-2U, 
dscurlock@voila.fr, Scurlock, Debi, Sierra Leone, 997-9705, "yI'?1U"Yd3?_, 
dseebert@bigpond.net.au, Seebert, Dirk, Mauritania, 908-5168, rU's6)hx)4:, 
dsharpus@orange.fr, Sharpus, Daryl, Oman, 997-6006, NC1ffI@7ZKXr1-B, 
dspring@live.nl, Spring, Daryle, Cuba, 270-5451, 1|43IIoQGI:, 
dtaffley@yahoo.com.br, Taffley, Dino, Saint Lucia, 209-6103, ^VrGMnR, 
dvellacott@yahoo.co.uk, Vellacott, Danny, Kyrgyzstan, 908-8666, N:L6a!"[;[z, 
dwhiffin@yahoo.fr, Whiffin, Dorree, Libya, 219-1003, SmeDvm\tr+Mu'12, 
dyakovlev@hotmail.com, Yakovlev, Dino, Albania, 219-2530, ]O<ER+, 
dyarrell@home.nl, Yarrell, Dino, Cambodia, 867-9714, xVv~:PsJa2, 
eabbs@verizon.net, Abbs, Eb, Sao Tome and Principe, 209-2857, 7yn^x`F3cP:PD, 
eabrahamoff@yandex.ru, Abrahamoff, Elke, Albania, 219-9751, d_&7I6NFh:3(4, 
