LastName, FirstName, Country, SIN, PhoneNum, Email, Password, 
Antoniottii, Maryjo, Uruguay, 666211289, 444-6964, mantoniottii@aim.com, .PX9LCy%, 
Archambault, Yves, Botswana, 811363200, 925-4344, yarchambault@yahoo.es, 2E&Yt;, 
Arton, Purcell, Brazil, 385716599, 398-8078, parton@bigpond.net.au, pmM}W?8E, 
Arton, Cornelius, Eswatini (fmr. "Swaziland"), 245142792, 398-7481, carton@mail.ru, %wAZHq(Lt}1, 
Ashmole, Burtie, Slovenia, 531365439, 867-9323, bashmole@ymail.com, R-aQ&zY, 
Ashmole, Nichols, Moldova, 586628015, 398-5830, nashmole@hotmail.co.uk, 7%hXY\)>*{r, 
Ashmole, Shandie, Lesotho, 358801683, 908-7088, sashmole@hotmail.co.uk, cS-:#s*c'StDe%(:, 
Axby, Eloise, Argentina, 319544266, 867-9860, eaxby@mail.ru, 8bQnWIfyq/[/.ih, 
Axby, Vin, Mozambique, 121351989, 444-6466, vaxby@bluewin.ch, udrsKOh0V:9, 
Axby, Jessica, Sierra Leone, 419120845, 908-4851, jaxby@bigpond.com, {O~ew?-T?qW$, 
Axten, Carlin, Finland, 664150254, 925-5088, caxten@optonline.net, t"d%.{, 
Ayce, Loren, Malta, 862419666, 398-1512, layce@cox.net, rChy0Uc)fqx, 
Azam, Philipa, Trinidad and Tobago, 198171884, 219-4531, pazam@ntlworld.com, (;@S:p\rsa, 
Azam, Cletus, Congo (Congo-Brazzaville), 653184445, 908-6286, cazam@me.com, rM\@OWK"bxcX, 
Bacup, Annabela, Kazakhstan, 978219419, 398-2446, abacup@live.ca, YxqV(Ik_crzm/, 
Balcon, Corinne, Seychelles, 477075122, 209-4920, cbalcon@yahoo.de, Y+RIrQu, 
Balcon, Tulley, North Korea, 481205147, 209-5662, tbalcon@neuf.fr, }O~Bg/, 
Baldin, Gabbie, Hungary, 191011984, 209-5498, gbaldin@aol.com, -B2P#XuWcSXU*}Q, 
Baldin, Hailey, Madagascar, 975278640, 270-8230, hbaldin@mail.ru, "]dm9x7_Cb@, 
Balmann, Burtie, Senegal, 574330757, 270-9027, bbalmann@qq.com, ]}b}uH93\+'d0Do{, 
Banishevitz, Eva, Jordan, 273914398, 270-3663, ebanishevitz@aol.com, <d;?PN, 
Banishevitz, Lilas, Afghanistan, 155954327, 398-4721, lbanishevitz@comcast.net, uguok>(Tc\s;(3, 
Banishevitz, Madison, Brunei, 187544444, 867-8981, mbanishevitz@yahoo.com.au, (/ZNyzp"cD>, 
Banishevitz, Jayson, Marshall Islands, 993005634, 444-7030, jbanishevitz@hotmail.com, o!16_HC, 
Barge, Rahel, Tonga, 778893660, 429-1624, rbarge@laposte.net, {GI.@EO0|e&, 
Barnaclough, Noble, Palestine State, 151245830, 867-4347, nbarnaclough@aim.com, u6kx}0YK|Cc#^, 
Barnaclough, Buddy, Marshall Islands, 415937886, 219-6204, bbarnaclough@live.nl, q6-4RIb6fTpK=G, 
Barnett, Carolyne, Czechia (Czech Republic), 193155710, 867-4030, cbarnett@club-internet.fr, xL@eDx"$=m/, 
Barnett, Elke, Belgium, 387029573, 867-9750, ebarnett@bol.com.br, zyTMso#, 
Barracks, Rois, Rwanda, 369374550, 867-5199, rbarracks@bellsouth.net, D>U=5[:mOe_Dw, 
Barrie, Ettie, Vietnam, 742112110, 219-5641, ebarrie@virgilio.it, lp)te\kceu/D&eL, 
Barrie, Esdras, Qatar, 494622285, 219-8545, ebarrie@yahoo.com, D^_nag_Lx`0, 
Bartlam, Jeramey, Brunei, 946942590, 219-8581, jbartlam@arcor.de, MWdS1tD2O)^mg, 
Bartlam, Alan, United States of America, 382663749, 867-1609, abartlam@tin.it, Dt{2(ao, 
Bassil, Dante, Saint Vincent and the Grenadines, 521885135, 908-9622, dbassil@bol.com.br, cx05J:, 
Battye, Elwood, Kenya, 122438616, 997-1153, ebattye@yahoo.com.br, [^.r?3X!g!eK^, 
Battye, Jemmie, Argentina, 165703554, 444-1870, jbattye@planet.nl, }9Eyq@{c+qw, 
Baudouin, Belinda, Ghana, 114969968, 209-4489, bbaudouin@gmx.de, Lm|CF5:=), 
Bayfield, Giuditta, South Africa, 623541206, 908-1855, gbayfield@freenet.de, d[!/`F:9`, 
Bedburrow, Ferdinand, Peru, 302550399, 997-6154, fbedburrow@sbcglobal.net, 0=VC-<2m0LN, 
Bedburrow, Whitman, Fiji, 265401877, 925-2775, wbedburrow@att.net, };lk=^M//grG, 
Beddoe, Web, Togo, 225152182, 925-5509, wbeddoe@alice.it, {zrkRxmo, 
Begwell, John, United Arab Emirates, 837161521, 219-4098, jbegwell@comcast.net, `E0<9EKA, 
Begwell, Barde, El Salvador, 560585728, 444-4838, bbegwell@free.fr, 7vKz&Inim#q+T, 
Belham, Tobin, Japan, 454367395, 867-9428, tbelham@neuf.fr, `z/M1%rHQu|u^[o, 
Belham, Arnuad, Angola, 568676368, 925-4210, abelham@yahoo.fr, /|54zGs*`GVYX;L, 
Benard, Arte, Bosnia and Herzegovina, 477108003, 398-6271, abenard@ntlworld.com, +-C!;p|, 
Bensley, Billy, Peru, 769908538, 219-8151, bbensley@virgilio.it, 1VW8tE6h, 
Bensley, Saundra, Liechtenstein, 323307607, 925-2925, sbensley@ig.com.br, wPo4IK, 
Berard, Claudia, Venezuela, 813263589, 270-8390, cberard@juno.com, ZeIBh]ft!a, 
Berkely, Kalindi, Palestine State, 607946550, 219-8056, kberkely@hotmail.de, ?"5mUsn[7, 
Berrycloth, Glyn, South Africa, 343198812, 908-6500, gberrycloth@chello.nl, I^FE;:&9q\R|R, 
Berthe, Filia, Sao Tome and Principe, 295740084, 925-1972, fberthe@yahoo.co.in, Injw:u=;, 
Berthe, Vincenty, Saint Vincent and the Grenadines, 675952280, 925-6209, vberthe@terra.com.br, v1uwzJA&8, 
Berthe, Cirstoforo, United Arab Emirates, 452200279, 908-2239, cberthe@shaw.ca, a(Y;nnR%T-jcJu, 
Berthe, Felike, Somalia, 432885249, 209-6600, fberthe@yahoo.co.jp, ISp4<mjuZn:, 
Best, Rosita, China, 624305153, 867-2573, rbest@yahoo.com.mx, :D[G(]~Jm77S, 
Best, Lydon, Jordan, 221248540, 398-9649, lbest@optonline.net, &SyyO|q/(FwT0-8}, 
Best, Byrom, Namibia, 694248677, 908-2074, bbest@sky.com, Awn@Cus|QCf90{, 
Best, Brady, Afghanistan, 194983411, 398-9520, bbest@hotmail.de, LkH^Tm=T'cdQZT, 
Bettlestone, Siobhan, Mauritius, 174960596, 398-2267, sbettlestone@rambler.ru, :2b}G;{i>y, 
Bigglestone, Lauraine, Kyrgyzstan, 612197494, 444-7132, lbigglestone@live.fr, 7nMzPnm*y, 
Bigham, Odey, Equatorial Guinea, 547395971, 219-6539, obigham@gmail.com, Erko;Skhg0]X, 
Bilovsky, Muffin, France, 981999754, 997-5746, mbilovsky@bluewin.ch, `GW#j8, 
Bilovsky, Nico, San Marino, 413240857, 997-4179, nbilovsky@live.it, Jy#n%3s-u4UPPMhh, 
Binstead, Devin, Côte d'Ivoire, 803386966, 997-7748, dbinstead@aol.com, {KqM.ZgVB=, 
Binstead, Rivkah, Nicaragua, 208057661, 867-3418, rbinstead@tiscali.co.uk, fD'*5fy, 
Binstead, Neddie, Tunisia, 277894282, 908-9515, nbinstead@windstream.net, Vi|2|%thtKhq!nT, 
Binstead, Hedwiga, Holy See, 919466130, 925-7590, hbinstead@virgilio.it, dzTJY=Ld'8e48, 
Bird, Kristien, Ireland, 444279172, 867-5174, kbird@blueyonder.co.uk, _M%#|h7^yUhO, 
Bird, Hi, Kazakhstan, 808090210, 908-6611, hbird@yahoo.com.mx, 2cFEv~, 
Birdall, Armando, Lebanon, 852676224, 209-5171, abirdall@live.ca, M6l?t=)^\Lw(Fq, 
Birdall, Cyndia, Bhutan, 764056747, 867-6672, cbirdall@freenet.de, ="DIN@U5BPl, 
Birdall, Hadlee, Montenegro, 331684179, 270-1935, hbirdall@yahoo.com.au, 1'w=HD2`o, 
Birkenhead, Bennett, United Arab Emirates, 339723618, 444-5025, bbirkenhead@verizon.net, 3&8jx_{zVh6d=+(t, 
Birkenhead, Kelcy, Slovenia, 439842053, 219-5007, kbirkenhead@uol.com.br, NO{WGy3%MP]), 
Biset, Emory, Ecuador, 337147135, 867-1298, ebiset@free.fr, hV3dI*8xY6/, 
Blamphin, Bondon, Togo, 251188314, 925-4405, bblamphin@orange.fr, p:#WxHm, 
Blamphin, Pris, Luxembourg, 241320959, 444-7517, pblamphin@qq.com, @)ziL-oVgpZuo@, 
Blankett, Nadya, Bahamas, 433530952, 925-6721, nblankett@hotmail.it, I&o|>AQ'%2, 
Blasing, Garry, Guinea, 318474917, 219-2083, gblasing@shaw.ca, 'x.1KEk<, 
Blay, Thom, Saint Vincent and the Grenadines, 869500843, 908-1753, tblay@voila.fr, L7`gYoQ`*ZR7, 
Bleddon, Noni, Tanzania, 144044101, 219-4412, nbleddon@att.net, []kqNypP&M., 
Blundin, Saxon, Kenya, 494363168, 219-7215, sblundin@ntlworld.com, Y?&H(+Q3y!/D&, 
Bodham, Demott, Suriname, 220954715, 398-8547, dbodham@skynet.be, I{:!/EgFU83I7$, 
Bogays, Vinny, Syria, 407021491, 908-1980, vbogays@gmx.de, cmD{Rr17P, 
Bogays, Doralin, Angola, 145591360, 398-6111, dbogays@att.net, /VZ:~P\, 
Borres, Osmond, Colombia, 936881504, 219-8465, oborres@googlemail.com, Joe\L=OoxKvR, 
Borrill, Madison, India, 852704313, 867-3198, mborrill@frontiernet.net, tTlScuXz)6S\3., 
Borrill, Benedict, Nauru, 430752746, 219-9205, bborrill@mail.ru, &^Xkhz), 
Borrill, Dorree, Sudan, 384662667, 429-7005, dborrill@me.com, ^jH2L*6V3=, 
Borthram, Karney, Zimbabwe, 676453195, 908-8805, kborthram@yahoo.com.br, 5UeuFEj6SSBo:xn, 
Botger, Sharon, Qatar, 437963995, 867-1701, sbotger@frontiernet.net, [URH%EIR}xT#G-, 
Bould, Chery, El Salvador, 118852039, 925-5606, cbould@windstream.net, vmSG&pU'nSVnotFJ, 
Bourgeois, Nehemiah, United States of America, 688873165, 219-5867, nbourgeois@yahoo.com.ar, kwOb6?Q"%]^v2l2, 
Bourgeois, Vera, Bahrain, 467944427, 209-1944, vbourgeois@googlemail.com, }^m[3h+D!}, 
Bowden, Danita, Mauritius, 321608488, 270-4135, dbowden@bellsouth.net, yYs-*R, 
Bownes, Randy, Serbia, 158619429, 270-2679, rbownes@zonnet.nl, fMLm}#j, 
Bownes, Norry, Lithuania, 663148362, 997-2108, nbownes@yahoo.co.in, KAvDCH/1, 
Brandin, Casper, Syria, 144829904, 997-4991, cbrandin@zonnet.nl, w~b5-2<7yn^, 
Brandin, Ansel, Nigeria, 539515583, 219-4507, abrandin@bluewin.ch, `1a7|o)Z;kFM4}B&, 
Brando, Annette, Ecuador, 831991514, 398-3974, abrando@yandex.ru, v}(YmEf0.A, 
Brecon, Dietrich, Austria, 852192614, 444-8483, dbrecon@wanadoo.fr, anJVV(tnI[FP}5EY, 
Brecon, Rianon, Italy, 439603219, 444-8049, rbrecon@optonline.net, 4<#:q.3, 
Breem, Taber, Panama, 424617059, 398-6816, tbreem@club-internet.fr, H*z[%9, 
Breem, Conny, North Korea, 247803465, 867-8021, cbreem@gmx.de, l9)5t+3x1, 
Breens, Wallas, Denmark, 253433063, 270-9154, wbreens@hotmail.fr, NXRe!8cx6Fv-*, 
Brigstock, Maurita, Seychelles, 414189396, 925-4495, mbrigstock@cox.net, Y*WwN]n/<Za\o}e~, 
Brinsden, Bondon, El Salvador, 198152167, 209-1636, bbrinsden@gmx.net, 5;>`>xt, 
Brinsden, Rodrigo, Guinea, 900833386, 997-7122, rbrinsden@windstream.net, $gg0A<Ts, 
Broe, Olivette, Iraq, 760063084, 398-1629, obroe@hotmail.com, 6N+lWo(Ud!~D.k, 
Broe, Clywd, Brazil, 683674895, 908-2516, cbroe@yahoo.com.sg, %yNqM?"bz2, 
Broe, Basia, Guyana, 360809773, 925-4591, bbroe@optonline.net, ]b!^<TC, 
Bromidge, William, Venezuela, 165033882, 429-3573, wbromidge@tiscali.it, jCFAe|8g)k;C@JD, 
Bromidge, Dian, Andorra, 804784925, 270-1781, dbromidge@bigpond.net.au, =O!5G%s{g5UVQr)!, 
Brothwood, Albertine, Monaco, 295678776, 398-8475, abrothwood@qq.com, Fj;t1Lj(8hVQCBk2, 
Brothwood, Eva, Estonia, 774515082, 209-4808, ebrothwood@rediffmail.com, eTV@vy|D;>*%, 
Bukowski, Uriel, New Zealand, 258762669, 908-3427, ubukowski@uol.com.br, }sHk8:A^, 
Bulfoot, Hakeem, Cabo Verde, 313431905, 209-9944, hbulfoot@yandex.ru, \Z&JcE/, 
Bumby, Breanne, Vietnam, 452133764, 867-3054, bbumby@bluewin.ch, W)fjp8UU)[L, 
Burcher, Aurel, Chile, 158504292, 270-9057, aburcher@verizon.net, V^I:V^, 
Busswell, Odey, Lithuania, 363581079, 444-7144, obusswell@yahoo.it, kaEEMrU~Xy4O17, 
Busswell, Cesare, Iran, 415233031, 867-7613, cbusswell@ymail.com, 2YM_jPtc-, 
Butler-Bowdon, Friedrick, Nicaragua, 341824130, 908-1304, fbutler-bowdon@live.fr, A;ht)?QMz(:, 
Butler-Bowdon, Waite, Djibouti, 787473146, 398-4236, wbutler-bowdon@wanadoo.fr, XUGA55<=l}m{oXFL, 
Cabane, Natala, Syria, 949622936, 429-9863, ncabane@yahoo.es, KuXEstY]31MDz9, 
Cabane, Giavani, Libya, 420610556, 444-2108, gcabane@hetnet.nl, ]km]KFiP8Yle, 
Caddy, Elana, Vietnam, 523606479, 219-3796, ecaddy@bellsouth.net, rcg\F>*6[j1TO, 
Cahalin, Allyson, Togo, 428342428, 270-9883, acahalin@home.nl, 4-|!r%Y3}, 
Cahalin, Opalina, Belarus, 234363341, 270-8766, ocahalin@frontiernet.net, [Sd|K!p;;;!\, 
Callingham, Reinhold, Bosnia and Herzegovina, 919599372, 925-8492, rcallingham@sky.com, qoe6!ACgz/u1, 
Callingham, Yehudit, Japan, 415737346, 219-8073, ycallingham@cox.net, Q!`9PQ[!hbgg, 
Capstaff, Demott, Maldives, 338962600, 908-7452, dcapstaff@frontiernet.net, f)G8HN0Wb_5"P, 
Capstaff, Annabel, El Salvador, 567149078, 219-3975, acapstaff@yahoo.com.au, &z4cP(/:CAhqs@:y, 
Capstaff, Artur, Slovakia, 809764980, 444-5490, acapstaff@optusnet.com.au, `#X4s49", 
Carmo, Loren, Papua New Guinea, 303059261, 997-6507, lcarmo@centurytel.net, Se7bm], 
Carthew, Selene, Morocco, 236971908, 908-1854, scarthew@juno.com, %lFh=W@, 
Casper, Northrop, Poland, 615018069, 219-8992, ncasper@yahoo.com.br, D|`VS|^INb, 
Caulket, Kissiah, Uruguay, 633871665, 398-6007, kcaulket@bluewin.ch, CZqNn_x$, 
Caves, Patricio, Somalia, 175130342, 997-5297, pcaves@skynet.be, LIHh-2UI, 
Charles, Karyl, Zimbabwe, 741440610, 209-7524, kcharles@sky.com, |[MsFG"-l&, 
Charles, Tallie, Fiji, 336008623, 908-4461, tcharles@yahoo.com.mx, Jx]4&178k0*, 
Charles, Hadlee, Slovenia, 234178958, 908-7193, hcharles@rediffmail.com, <eDWiFyDYs, 
Chastanet, Max, Angola, 785584545, 398-1751, mchastanet@yahoo.de, iCD5/M[tJ^'/^f, 
Chastel, Mervin, Chile, 699692876, 925-4694, mchastel@mail.ru, |Z\b6om@T=OL, 
Chatelet, Jaimie, Bosnia and Herzegovina, 279086480, 997-3823, jchatelet@yahoo.co.uk, R+U`6(!, 
Chatelet, Georas, Montenegro, 329482240, 270-5422, gchatelet@planet.nl, M@/h[Ps5K:w3Q|, 
Chatters, Corinne, Madagascar, 534718859, 219-1050, cchatters@yahoo.es, M7Iye#9HU!, 
Chidwick, Kincaid, Jamaica, 955089128, 867-8620, kchidwick@tin.it, +poi]]Q://$y/;P, 
Cino, Haze, Equatorial Guinea, 866753875, 209-5073, hcino@rambler.ru, bE=tCL&:[9dN, 
Cino, Joshuah, Sri Lanka, 284531861, 209-3133, jcino@mail.ru, tiu<-%^\@'', 
Clacey, Orin, Venezuela, 292657521, 997-6837, oclacey@msn.com, OkyuZpd?\c^~, 
Clacey, Helene, Philippines, 966882815, 444-3823, hclacey@freenet.de, 1-B:oLfJ=OL@7X%<, 
Claesens, Mikaela, Malaysia, 481830857, 997-6312, mclaesens@yahoo.de, gZyiw4O$jwx, 
Claque, Mandel, Iceland, 972020847, 270-9229, mclaque@bellsouth.net, }o[I<nlXxJ/SzJE4, 
Clementel, Nadya, Paraguay, 160308425, 209-6599, nclementel@sky.com, :dK=i\, 
Cleminshaw, Bing, Djibouti, 434251885, 997-8725, bcleminshaw@cox.net, .Md~i*TV#, 
Close, Thaddus, Belgium, 845425661, 398-3878, tclose@bol.com.br, yKi7't3iuc, 
Collings, Addi, Trinidad and Tobago, 166355856, 398-7341, acollings@yahoo.ca, G(D$(lZ, 
Collings, Birch, Bahamas, 773766819, 209-3866, bcollings@yahoo.com.mx, 7BNCIXga"{P0, 
Colson, Alan, Peru, 404447885, 398-3835, acolson@yahoo.com.mx, 9Jt6^aQ:?r, 
Comford, Anne, Algeria, 287644996, 398-1440, acomford@me.com, Mcu{@])h.if5, 
Conahy, Jacinda, Spain, 332510512, 908-6808, jconahy@rediffmail.com, u0VI69IFP, 
Conahy, Ree, India, 260507482, 209-4189, rconahy@sky.com, =8[DdcpWTd02, 
Conahy, Sidney, Myanmar (formerly Burma), 879737423, 925-5919, sconahy@tin.it, 9eiV?Wg'q}x, 
Conford, Dru, Ecuador, 944169939, 925-3513, dconford@voila.fr, qT'$9$ApJy>, 
Conford, Becky, Austria, 313714339, 429-3792, bconford@hotmail.co.uk, bS};gw, 
Consterdine, Noni, Romania, 571704617, 209-9669, nconsterdine@juno.com, 'y\qVK1, 
Cornall, Sax, Lebanon, 348573965, 908-8009, scornall@yahoo.co.in, N8DkQ9Xs+za}t=<(, 
Cornall, Bo, Denmark, 715381715, 997-9100, bcornall@arcor.de, 6`i:S(m@, 
Cornau, Pauletta, Burkina Faso, 739717934, 398-9348, pcornau@hotmail.co.uk, Q>0:+Rv#F[*D, 
Courtliff, Gelya, Colombia, 165456454, 270-2926, gcourtliff@neuf.fr, H/p.))gU!i, 
Covolini, Fair, Greece, 848630388, 219-4428, fcovolini@mail.com, !Lw(Gv#9t, 
Cowthart, Tabatha, South Korea, 881114922, 219-9080, tcowthart@comcast.net, 4^5rMhTE[FA6";zJ, 
Crankhorn, Odey, Belize, 111630089, 997-8266, ocrankhorn@facebook.com, XqkMC=9?U`/u&L, 
Crawshay, Selene, Estonia, 512585701, 270-3626, scrawshay@tin.it, ExyTu>!w[h^, 
Crawshay, Kessiah, Chad, 774119948, 867-5962, kcrawshay@gmx.net, ^YNbUwwxgPjS9, 
Crebbin, Hamish, Slovakia, 380707300, 429-3270, hcrebbin@me.com, #'O9P(<, 
Crebbin, Ginnie, Laos, 584011079, 444-3061, gcrebbin@tiscali.co.uk, /i||7C[9B'an, 
Creenan, Marietta, Vietnam, 932450611, 867-3132, mcreenan@bol.com.br, J1p;hS+, 
Creer, Correy, Syria, 321672001, 444-3316, ccreer@juno.com, |a<Tgm8=wCkd0PfB, 
Creer, Rufus, San Marino, 915606032, 398-7086, rcreer@facebook.com, !82gg6Q%^;sH], 
Creer, Lydon, Samoa, 695876005, 444-4778, lcreer@t-online.de, "R/)8~eg{QqN, 
Creighton, Eula, Iraq, 509189291, 908-6116, ecreighton@yahoo.co.uk, C$:Z6J, 
Creighton, Shandy, Ghana, 348894153, 925-3878, screighton@zonnet.nl, q$=Wwr;F?, 
Crisell, Mannie, Pakistan, 919005510, 997-7459, mcrisell@virgilio.it, h;"r5/8#&6=z7l, 
Cronkshaw, Brittaney, Luxembourg, 153367538, 219-9398, bcronkshaw@outlook.com, lCGtz-, 
Cuttler, Cyndia, Dominican Republic, 686913209, 444-8736, ccuttler@rocketmail.com, DjVj)Z, 
D'Almeida, Barnard, Slovakia, 688824910, 444-3515, bd'almeida@ymail.com, VS]Nu7J, 
Daid, Kris, Peru, 757095895, 925-9649, kdaid@yahoo.co.jp, QP-A<d23V3}81, 
Dalla, Heloise, Brunei, 369569792, 209-4111, hdalla@live.com, 7jU'9~k8K, 
Dalla, Glyn, Saint Vincent and the Grenadines, 967214319, 867-2971, gdalla@hotmail.de, aZZoQy]RZO:, 
Dallander, Afton, Belgium, 535077589, 209-2448, adallander@live.nl, 93$-+.xKZ_~G#?$<, 
Dallander, Trstram, Angola, 289344198, 209-7991, tdallander@ntlworld.com, /<aj$+;ZRG, 
Dalliwater, Moira, Kyrgyzstan, 797070757, 219-4675, mdalliwater@rocketmail.com, HB&qq0Zl0^=i2, 
Dalliwater, Debera, Sudan, 999908410, 867-2237, ddalliwater@voila.fr, @@t!DyI_M7+;\F!, 
Dalliwater, Nanine, France, 573194081, 429-6771, ndalliwater@yahoo.it, "zB<X$=r<Bnh&)o, 
Dansken, Carlin, Côte d'Ivoire, 313986157, 209-6818, cdansken@facebook.com, ;Cg>>[e, 
Dansken, Vincenty, Equatorial Guinea, 217372618, 429-9028, vdansken@ntlworld.com, H0*l#2, 
Dauney, Rance, Benin, 173872212, 270-2113, rdauney@outlook.com, +A>IV')c70z=RB, 
De Lorenzo, Alva, Belize, 417303605, 867-3579, ade lorenzo@yahoo.ca, #GR)@U$X, 
De Lorenzo, Guss, Sudan, 299376898, 209-1269, gde lorenzo@frontiernet.net, 8^d.WSlf?, 
De Ruggero, Beale, Bulgaria, 821733683, 867-1979, bde ruggero@sympatico.ca, '5s"+;)vM, 
De Ruggiero, Sileas, Afghanistan, 234946106, 398-1827, sde ruggiero@blueyonder.co.uk, Xp9ws<mvMN, 
Del Monte, Derward, Dominica, 664860959, 398-6884, ddel monte@uol.com.br, suF*=_2McgQ{zY\, 
Del Monte, Ritchie, Guinea, 166458760, 429-2393, rdel monte@live.nl, HKj%KYDg\@", 
Delnevo, Rolfe, Saudi Arabia, 833327612, 444-8414, rdelnevo@charter.net, _&U/HxYCS1, 
Delong, Dante, Bahrain, 270575321, 429-9819, ddelong@yahoo.com.ar, <oH^s48K"yI'?1U, 
Delong, Stormy, Sao Tome and Principe, 249561859, 398-7229, sdelong@yahoo.fr, _'gj)%9'PM@|+, 
Delong, Sidney, Niger, 168961127, 398-5081, sdelong@virgilio.it, $uJeFY&{;vTzl], 
Delong, Savina, Georgia, 461886159, 219-8830, sdelong@facebook.com, 9M+0XGGsA, 
Delong, Caren, Comoros, 116980204, 997-4969, cdelong@ymail.com, 8fUP`*ncrI, 
Denecamp, Luigi, Madagascar, 848374634, 209-2752, ldenecamp@hotmail.it, (cXQ~1\yxgQf$, 
Denisovich, Maisie, Saint Vincent and the Grenadines, 215991275, 270-3772, mdenisovich@hotmail.com, WIh|(c1LxD#o, 
Deveraux, Jessica, Belize, 830832933, 209-2317, jdeveraux@yahoo.com.mx, T|LD;%0B*q, 
Deveraux, Worth, Seychelles, 997666825, 925-1664, wdeveraux@hotmail.com, .&J-@2n6n{d%<wn, 
Deveraux, Nikki, Zambia, 382447445, 398-9124, ndeveraux@neuf.fr, /ioN)iT:<}')wmv, 
Deverell, Syd, Antigua and Barbuda, 172650123, 444-3624, sdeverell@yahoo.com.sg, <<)3wYNf, 
Dexter, Didi, Switzerland, 194924677, 867-6099, ddexter@ntlworld.com, Cupve!9$9~, 
Di Pietro, Glyn, Pakistan, 581690930, 867-4864, gdi pietro@comcast.net, Qa]9GHuLR4J/1w9, 
Di Pietro, Arnie, Cambodia, 684375282, 997-9215, adi pietro@yahoo.co.jp, rr:P@)?M[, 
Di Pietro, Vern, Mexico, 838092951, 997-7062, vdi pietro@orange.fr, :~qva!B\q^C, 
Dightham, Tabatha, Seychelles, 113511382, 429-4451, tdightham@ymail.com, pzD@|A.+Wx, 
Dightham, Myrah, Panama, 229344385, 908-6643, mdightham@bol.com.br, w3OnP0b+e, 
Dimbylow, Cesare, Chad, 256453268, 398-2390, cdimbylow@chello.nl, S\y|Q/P+7fG, 
Dinnies, Dee dee, Bolivia, 110461139, 209-1774, ddinnies@shaw.ca, q^apw=, 
Dinnies, Annelise, Togo, 356640967, 219-4419, adinnies@gmail.com, /jY4Lt+t, 
Disbrow, Griffy, Israel, 134829832, 444-5242, gdisbrow@web.de, Qn)Q/hW3, 
Disdel, Fraze, Canada, 982857589, 270-2906, fdisdel@me.com, iX'=O!8&!!t`U0#p, 
Dockrell, Clement, Italy, 468046387, 270-2042, cdockrell@windstream.net, z@}}eq(\SQn+qvq, 
Dockrell, Christophe, Uzbekistan, 789185712, 925-6414, cdockrell@hotmail.com, sCIYc;?g, 
Dominicacci, Ofelia, Philippines, 261076485, 398-6119, odominicacci@mail.ru, &Wo#4k0YlFHfD70], 
Donett, Saxon, Benin, 313063286, 925-7155, sdonett@blueyonder.co.uk, K;Ih{$<?(gRoebk&, 
Donett, Nikki, Côte d'Ivoire, 891848977, 444-5340, ndonett@orange.fr, PwJ#Unmkh:YQMx, 
Drakeford, Tulley, Finland, 587436217, 997-8447, tdrakeford@rocketmail.com, -Rb=x_, 
Drees, Galen, South Korea, 987077888, 444-3566, gdrees@hotmail.fr, ;oNWs.v, 
